Character,Fights,Avg_Stock_Diff,Avg_Damage,Wins,Losses,Total_Score,Win_Rate
Pichu,11,1.3636363636363635,80.81818181818181,10,1,29.743,0.9090909090909091
Ness,11,1.3636363636363635,67.54545454545455,9,2,29.192,0.8181818181818182
Shulk,9,2.111111111111111,89.0,9,0,29.121000000000002,1.0
Mega Man,12,1.25,104.83333333333333,10,2,29.107,0.8333333333333334
Hero,10,2.0,89.9,10,0,29.034,1.0
Cloud,10,1.8,67.9,10,0,28.819,1.0
Lucina,10,1.4,75.6,8,2,28.639,0.8
Sheik,12,1.0833333333333333,78.16666666666667,10,2,28.136,0.8333333333333334
Wii Fit Trainer,12,1.0833333333333333,64.08333333333333,9,3,27.747,0.75
Captain Falcon,11,1.0,74.0,9,2,27.744,0.8181818181818182
Snake,10,1.1,57.1,9,1,27.683,0.9
Bayonetta,11,1.1818181818181819,72.63636363636364,9,2,27.669,0.8181818181818182
Kirby,9,1.6666666666666667,72.77777777777777,8,1,27.532,0.8888888888888888
Zero Suit Samus,11,1.0909090909090908,52.72727272727273,10,1,27.488,0.9090909090909091
Fox,13,0.6923076923076923,53.69230769230769,10,3,27.387,0.7692307692307693
Ike,11,1.7272727272727273,62.72727272727273,11,0,27.177,1.0
Peach,10,1.4,63.0,9,1,26.647,0.9
Mario,12,1.4166666666666667,91.08333333333333,11,1,26.333,0.9166666666666666
Palutena,10,1.4,68.2,8,2,25.722,0.8
Richter,9,1.3333333333333333,58.333333333333336,7,2,25.224,0.7777777777777778
Rosalina & Luma,10,1.1,89.6,8,2,25.11,0.8
Mr Game & Watch,9,1.6666666666666667,71.55555555555556,9,0,25.012999999999998,1.0
Byleth,11,0.8181818181818182,49.36363636363637,9,2,24.961,0.8181818181818182
Link,8,1.875,87.75,7,1,24.624,0.875
ROB,10,1.2,56.9,8,2,24.057,0.8
Sonic,11,1.4545454545454546,78.0909090909091,10,1,23.907,0.9090909090909091
Samus,9,1.3333333333333333,100.22222222222223,7,2,22.733,0.7777777777777778
Ryu,11,0.8181818181818182,88.72727272727273,8,3,22.646,0.7272727272727273
Isabelle,8,1.25,67.75,7,1,22.232,0.875
Ken,11,0.8181818181818182,78.36363636363636,8,3,21.989,0.7272727272727273
Pokemon Trainer,9,1.2222222222222223,84.77777777777777,8,1,21.704,0.8888888888888888
Jigglypuff,10,0.9,42.2,8,2,20.244,0.8
Steve,7,0.7142857142857143,77.57142857142857,5,2,11.370000000000001,0.7142857142857143
Daisy,6,0.5,57.5,4,2,9.908999999999999,0.6666666666666666
Pikachu,5,0.8,82.6,3,2,8.378,0.6
Falco,6,0.16666666666666666,69.5,3,3,7.355,0.5
Marth,6,-0.16666666666666666,57.166666666666664,3,3,6.384,0.5
Kazuya,5,0.2,119.8,2,3,6.253,0.4
